contributor,total,to_dems,to_repubs,to_liberal_groups,to_conservative_groups,to_nonpartisan_groups,lean,industry
California Waste Solutions,75400,47200,28200,0,0,0,Leans Democrat,"Trash Collection,Waste Management"
Beasley Assoc,73446,64445,1,12250,0,0,Leans Democrat,"Trash Collection,Waste Management"
Kimble Companies,68513,0,48103,0,20410,0,Leans Republican,"Trash Collection,Waste Management"
Covanta Energy Corp,35220,34220,1000,0,0,0,Leans Democrat,"Trash Collection,Waste Management"
Republic Services,34071,16746,17168,0,0,0,Leans Republican,"Trash Collection,Waste Management"
County Waste LLC,33000,0,33000,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Harrison Industries,25382,0,23837,0,1796,500,Leans Republican,"Trash Collection,Waste Management"
Abc Disposal Service,20186,0,20186,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Birmingham Hide & Tallow,18793,0,18768,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Duong Family Investments,18400,0,18400,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Cal Waste,18200,0,18200,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Burrtec Waste Industries,17900,7600,10300,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Clean Harbors Inc,16668,995,15673,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Sanitary Service Co,15100,3500,11600,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Liquid Environmental Solutions,14800,14800,0,0,0,0,Leans Democrat,"Trash Collection,Waste Management"
Abc Disposal,14245,0,14245,0,0,0,Leans Republican,"Trash Collection,Waste Management"
Stericycle Inc,14059,11212,1444,0,0,1220,Leans Democrat,"Trash Collection,Waste Management"
Microsoft Corp,3285437,1832775,538516,396413,500000,1350,Leans Democrat,Computer Software
InterSystems Corp,1729580,478311,37,1250602,0,0,Leans Liberal,Computer Software
Oracle Corp,991502,407070,552932,18060,4766,576,Leans Republican,Computer Software
Certain Inc,523624,321124,0,202500,0,0,Leans Democrat,Computer Software
Smith Point Capital,506600,6600,0,0,500000,0,Leans Conservative,Computer Software
SAS Institute,460696,441985,16942,0,0,0,Leans Democrat,Computer Software
Scaled Agile,346140,270770,370,75000,0,0,Leans Democrat,Computer Software
Altopass Inc,237900,17900,0,0,0,220000,On the fence,Computer Software
Scalyr Inc,200000,0,0,200000,0,0,Leans Liberal,Computer Software
Adobe Inc,186665,140010,30567,10070,0,0,Leans Democrat,Computer Software
Zudy,175180,175100,0,0,0,0,Leans Democrat,Computer Software
Imanage,167142,167009,10,120,0,0,Leans Democrat,Computer Software
Intuit Inc,145136,107359,33314,500,0,0,Leans Democrat,Computer Software
Esri,121337,75383,44303,120,0,0,Leans Democrat,Computer Software
Gladly Software,107413,107413,0,0,0,0,Leans Democrat,Computer Software
Sap Inc,103681,79065,21271,1655,0,0,Leans Democrat,Computer Software
Escription Inc,99200,99200,0,0,0,0,Leans Democrat,Computer Software
Unity Technologies,91724,40354,1000,50370,0,0,Leans Liberal,Computer Software
Workday Inc,90946,52812,35958,450,375,0,Leans Democrat,Computer Software
Advanced Global Resources,89900,0,89900,0,0,0,Leans Republican,Computer Software
Federated Indians Of Graton Rancheria,1192595,992595,0,141466,0,0,Leans Democrat,Gambling & Casinos
Valmore Gp,1176800,0,676800,0,500000,0,Leans Republican,Gambling & Casinos
Poarch Band of Creek Indians,1060839,290400,270439,0,500000,0,Leans Conservative,Gambling & Casinos
Puyallup Tribe Of Indians,879662,581469,45206,250000,0,0,Leans Democrat,Gambling & Casinos
SAN PABLO LYTTON CASINO,745526,95526,0,650000,0,0,Leans Liberal,Gambling & Casinos
Agua Caliente Band Of Cahuilla Indians,604490,299290,205200,100000,0,0,Leans Democrat,Gambling & Casinos
Nevada Restaurant Services,500000,0,500000,0,0,0,Leans Republican,Gambling & Casinos
Shakopee Mdewakanton Sioux Community,499700,347550,150500,25000,0,0,Leans Democrat,Gambling & Casinos
Chickasaw Nation,466569,283822,182621,10000,0,0,Leans Democrat,Gambling & Casinos
San Manuel Band of Mission Indians,452803,170583,96635,0,0,185052,On the fence,Gambling & Casinos
Morongo Band of Mission Indians,452161,246961,205200,0,0,0,Leans Democrat,Gambling & Casinos
Pechanga Band of Luiseno Mission Indians,415100,211200,203900,0,0,0,Leans Democrat,Gambling & Casinos
Wynn Resorts,393063,16578,376485,0,0,0,Leans Republican,Gambling & Casinos
Santa Ynez Band of Chumash Indians,377545,212645,164900,32400,0,0,Leans Democrat,Gambling & Casinos
Ak-Chin Indian Community,354410,218410,136000,0,0,0,Leans Democrat,Gambling & Casinos
Sycuan Band of the Kumeyaay Nation,317000,201900,115100,59800,5000,0,Leans Democrat,Gambling & Casinos
Cherokee Nation,291681,167815,123866,10000,0,0,Leans Democrat,Gambling & Casinos
Ysleta Del Sur Pueblo,253050,123040,105000,0,25000,0,Leans Democrat,Gambling & Casinos
Tunica-Biloxi Tribe of Louisiana,246464,243164,3300,0,0,0,Leans Democrat,Gambling & Casinos
Salt River Pima-Maricopa Indians,234456,181856,52600,0,0,0,Leans Democrat,Gambling & Casinos
National Education Assn,8575549,1211771,8741,7372677,0,14000,Leans Liberal,Teachers Unions
American Federation of Teachers,1860132,1327343,1360,583447,0,0,Leans Democrat,Teachers Unions
Aft Solidarity,1303000,0,0,1303000,0,0,Leans Liberal,Teachers Unions
Ohio Education Assn,473302,2407,0,470885,0,0,Leans Liberal,Teachers Unions
California Teachers Assn,42817,42321,0,32400,0,0,Leans Democrat,Teachers Unions
New York State United Teachers,14697,12546,509,250,0,0,Leans Democrat,Teachers Unions
Nea Fund For Children & Public Education,10000,0,0,10000,0,0,Leans Liberal,Teachers Unions
United University Professions,7639,7639,0,0,0,0,Leans Democrat,Teachers Unions
General Motors,968099,542664,412572,10483,240,515,Leans Democrat,Automotive
National Auto Dealers Assn,903560,296060,605000,0,0,0,Leans Republican,Automotive
Pulley Management Services,759900,0,9900,0,750000,0,Leans Conservative,Automotive
Toyota Motor Corp,634880,255324,374887,600,0,0,Leans Republican,Automotive
Penske Corp,621512,7016,64129,0,550000,0,Leans Conservative,Automotive
Archer Auto Group,442944,0,420564,0,22530,0,Leans Republican,Automotive
Jim Click Automotive,423377,0,423377,0,0,0,Leans Republican,Automotive
Ford Motor Co,404438,222772,176879,248,100,960,Leans Democrat,Automotive
Freeman Auto Group,400100,0,400100,0,0,0,Leans Republican,Automotive
Braman Motorcars,375700,8300,17400,0,350000,0,Leans Conservative,Automotive
Billion Automotive,368307,34,368273,0,0,0,Leans Republican,Automotive
Crawford Group,350130,99067,250749,55,25,0,Leans Republican,Automotive
Automotive Free International Trade PAC,320000,30000,290000,0,0,0,Leans Republican,Automotive
Keyes Motors,302900,39700,13200,0,0,250000,On the fence,Automotive
Bob Loquercio Auto Group,299600,0,162800,0,136800,0,Leans Republican,Automotive
1a Auto Inc,276172,99,146073,0,130000,0,Leans Republican,Automotive
Pohanka Automotive Group,267107,10665,206442,0,50000,0,Leans Republican,Automotive
Don Mcgill Toyota Of Katy,215000,0,15000,0,200000,0,Leans Conservative,Automotive
Sewell Automotive,210386,151,160225,0,50000,0,Leans Republican,Automotive
Copart Inc,207996,1317,206594,0,0,0,Leans Republican,Automotive
Credit Union National Assn,1602277,816513,780714,0,0,0,Leans Democrat,Credit Unions
National Assn of Federally Insured Credit Unions,187500,95500,90000,0,0,0,Leans Democrat,Credit Unions
CUNA Mutual Insurance Society,41500,19500,22000,0,0,0,Leans Republican,Credit Unions
South Carolina Federal Credit Union,31540,1275,30115,0,0,0,Leans Republican,Credit Unions
SchoolsFirst Federal Credit Union,26160,19638,6511,0,0,0,Leans Democrat,Credit Unions
American First Credit Union,19723,10,19713,0,0,0,Leans Republican,Credit Unions
Kinecta Federal Credit Union,16504,14871,1633,0,0,0,Leans Democrat,Credit Unions
Elevations Credit Union,15891,15336,555,0,0,0,Leans Democrat,Credit Unions
Security Service Federal Credit Union,15100,5055,10045,0,0,0,Leans Republican,Credit Unions
Wescom Credit Union,14457,8432,6025,0,0,0,Leans Democrat,Credit Unions
Vystar Credit Union,11033,4061,6972,0,0,0,Leans Republican,Credit Unions
California Credit Union,9947,8447,1500,0,0,0,Leans Democrat,Credit Unions
Credit Union of Southern California,9250,8750,500,0,0,0,Leans Democrat,Credit Unions
Boeing Employees' Credit Union,9140,7373,673,1000,0,0,Leans Democrat,Credit Unions
Valley Strong Credit Union,9125,6600,2525,0,0,0,Leans Democrat,Credit Unions
Truwest Credit Union,9100,3500,1000,0,0,0,Leans Democrat,Credit Unions
Truliant Federal Credit Union,8605,1950,6655,0,0,0,Leans Republican,Credit Unions
Navy Federal Credit Union,7602,4800,2539,150,0,0,Leans Democrat,Credit Unions
Gowest Credit Union Assn,6854,4250,104,0,0,0,Leans Democrat,Credit Unions
Kinetic Credit Union,6843,0,6843,0,0,0,Leans Republican,Credit Unions
Scalise for Congress,5059000,0,5059000,0,0,0,Leans Republican,"Candidate Committees, Republican"
Mike Johnson for Louisiana,2862500,0,2862500,0,0,0,Leans Republican,"Candidate Committees, Republican"
Emmer for Congress,1420640,0,1420640,0,0,0,Leans Republican,"Candidate Committees, Republican"
Cathy McMorris Rodgers for Congress,1228057,0,1228057,0,0,0,Leans Republican,"Candidate Committees, Republican"
Hudson for Congress,768050,0,768050,0,0,0,Leans Republican,"Candidate Committees, Republican"
Elise for Congress,718150,0,718150,0,0,0,Leans Republican,"Candidate Committees, Republican"
Guy for Congress,706500,0,706500,0,0,0,Leans Republican,"Candidate Committees, Republican"
McHenry for Congress,602680,0,602680,0,0,0,Leans Republican,"Candidate Committees, Republican"
Friends of Glenn Thompson,470345,0,470345,0,0,0,Leans Republican,"Candidate Committees, Republican"
Nikki Haley for President,453634,0,453634,0,0,0,Leans Republican,"Candidate Committees, Republican"
Vivek 2024,452000,0,452000,0,0,0,Leans Republican,"Candidate Committees, Republican"
Donald J Trump for President 2024,432329,0,432329,0,0,0,Leans Republican,"Candidate Committees, Republican"
Marjorie Greene for Congress,407400,0,407400,0,0,0,Leans Republican,"Candidate Committees, Republican"
Chris Christie for President,395000,0,395000,0,0,0,Leans Republican,"Candidate Committees, Republican"
Binkley for President 2024,385000,0,385000,0,0,0,Leans Republican,"Candidate Committees, Republican"
Texans for Jodey Arrington,358000,0,358000,0,0,0,Leans Republican,"Candidate Committees, Republican"
French Hill for Arkansas,335000,0,335000,0,0,0,Leans Republican,"Candidate Committees, Republican"
Adrian Smith for Congress,319000,0,319000,0,0,0,Leans Republican,"Candidate Committees, Republican"
Ron Estes for Congress,301269,0,301269,0,0,0,Leans Republican,"Candidate Committees, Republican"
Guthrie for Congress,284163,0,284163,0,0,0,Leans Republican,"Candidate Committees, Republican"
Communications Workers Of America,5944089,689013,13281,5240189,0,0,Leans Liberal,"Unions, Industrial"
International Brotherhood of Electrical Workers,2753316,1619889,35048,1060620,35000,1500,Leans Democrat,"Unions, Industrial"
United Steelworkers,1017213,315562,0,701224,0,0,Leans Liberal,"Unions, Industrial"
Machinists/Aerospace Workers Union,994714,962149,22501,0,0,0,Leans Democrat,"Unions, Industrial"
United Auto Workers,480852,480766,0,0,0,0,Leans Democrat,"Unions, Industrial"
United Mine Workers of America,186960,176960,10000,0,0,0,Leans Democrat,"Unions, Industrial"
Boilermakers Union,47506,41415,6001,0,0,0,Leans Democrat,"Unions, Industrial"
Ibew Local 102,20075,75,0,20000,0,0,Leans Liberal,"Unions, Industrial"
Utility Workers Union of America,9712,9662,50,0,0,0,Leans Democrat,"Unions, Industrial"
IBEW Local 98,6391,3064,3303,0,0,0,Leans Republican,"Unions, Industrial"
IBEW PAC VOLUNTARY FUND ELECTRICAL WORKE,5000,5000,0,0,0,0,Leans Democrat,"Unions, Industrial"
American Council of Engineering Cos,1260723,651500,604223,0,0,0,Leans Democrat,Construction Services
CDR Maguire Inc,1190918,11615,179303,0,1000000,0,Leans Conservative,Construction Services
AECOM Global,272122,179493,90198,395,0,0,Leans Democrat,Construction Services
HDR Inc,246895,136742,109737,0,0,0,Leans Democrat,Construction Services
Jacobs Solutions,225421,117884,98116,25650,5181,0,Leans Democrat,Construction Services
Fluor Corp,182352,56068,126046,25,0,0,Leans Republican,Construction Services
Quanta Services,181157,158005,21652,0,0,0,Leans Democrat,Construction Services
Precision Refractory Services,171506,6,121500,0,50000,0,Leans Republican,Construction Services
Saulsbury Industries,170331,0,170331,0,0,0,Leans Republican,Construction Services
Gehry Partners,168810,168560,0,250,0,0,Leans Democrat,Construction Services
Interarch Inc,158860,0,158860,0,0,0,Leans Republican,Construction Services
Cordoba Corp,128249,103225,0,25000,0,0,Leans Democrat,Construction Services
Burns & McDonnell,119539,59047,59792,0,250,0,Leans Republican,Construction Services
Peter Kiewit Sons,116100,0,116100,0,0,0,Leans Republican,Construction Services
Moore Holding Co,111115,2500,8615,0,0,100000,On the fence,Construction Services
Gluck Architectural Collaborative,100000,0,0,100000,0,0,Leans Liberal,Construction Services
DLZ Corp,96226,92725,3501,0,0,0,Leans Democrat,Construction Services
HNTB Holdings,93154,58569,34372,0,0,210,Leans Democrat,Construction Services
Hawkins Construction,90775,25,90750,0,0,0,Leans Republican,Construction Services
Pape Dawson Engineers,80397,123,29475,0,50000,0,Leans Conservative,Construction Services
Koch Industries,27275825,710,1025110,0,26250000,0,Leans Conservative,Oil & Gas
Crownquest Operating,5549510,175,549335,0,5000000,0,Leans Conservative,Oil & Gas
Chevron Corp,3828625,116194,523921,101216,3085000,0,Leans Conservative,Oil & Gas
Devon Energy,2687565,23695,648477,0,2015000,0,Leans Conservative,Oil & Gas
ConocoPhillips,2546586,44515,197819,300000,2000000,0,Leans Conservative,Oil & Gas
American Petroleum Institute,2166897,28971,137926,0,2000000,0,Leans Conservative,Oil & Gas
Occidental Petroleum,2165222,12575,152447,0,2000000,0,Leans Conservative,Oil & Gas
Valero Services,2013650,0,13400,250,2010000,0,Leans Conservative,Oil & Gas
Energy Transfer Partners,1713880,233,1713647,0,0,0,Leans Republican,Oil & Gas
Energy Transfer LP,1234809,327,133834,0,1100000,0,Leans Conservative,Oil & Gas
Midland Energy,1152304,500,1026804,0,125000,0,Leans Republican,Oil & Gas
Geosouthern Energy,1126233,175,126058,0,1000000,0,Leans Conservative,Oil & Gas
Samson Energy,1087768,67768,0,1020000,0,0,Leans Liberal,Oil & Gas
Continental Resources,1001094,6030,95064,0,900000,0,Leans Conservative,Oil & Gas
Exxon Mobil,607590,222120,376834,2542,1000,0,Leans Republican,Oil & Gas
Hunt Oil,547976,3375,44601,0,500000,0,Leans Conservative,Oil & Gas
Pilot Flying J,541774,1222,427971,0,112500,0,Leans Republican,Oil & Gas
Oxbow Carbon,511600,0,11600,0,500000,0,Leans Conservative,Oil & Gas
Ota Holdings,500000,0,0,0,500000,0,Leans Conservative,Oil & Gas
Red Apple Group,472022,6600,450422,0,15000,0,Leans Republican,Oil & Gas
Abbott Laboratories,4535511,249093,273952,1250,4000100,0,Leans Conservative,"Pharmaceuticals , Health Products"
Farrington Rocket LLC,3000000,0,0,0,3000000,0,Leans Conservative,"Pharmaceuticals , Health Products"
Starkey Hearing Technologies,1540886,188086,1352800,0,0,0,Leans Republican,"Pharmaceuticals , Health Products"
Pfizer Inc,778410,432631,327140,41442,0,0,Leans Democrat,"Pharmaceuticals , Health Products"
DE Shaw Research,760668,60627,0,700000,0,0,Leans Liberal,"Pharmaceuticals , Health Products"
Johnson & Johnson,594805,236116,254594,1400,100000,0,Leans Republican,"Pharmaceuticals , Health Products"
Eli Lilly & Co,580280,216333,333301,950,25275,0,Leans Republican,"Pharmaceuticals , Health Products"
Amgen Inc,544383,149215,392356,1620,0,0,Leans Republican,"Pharmaceuticals , Health Products"
Merck & Co,533695,331978,192408,2545,0,0,Leans Democrat,"Pharmaceuticals , Health Products"
Ischemix,513030,403130,3300,100000,0,0,Leans Democrat,"Pharmaceuticals , Health Products"
Resmed Inc,504156,3077,258698,98,42721,201000,Leans Republican,"Pharmaceuticals , Health Products"
Bristol-Myers Squibb,461461,210607,246037,700,0,0,Leans Republican,"Pharmaceuticals , Health Products"
AstraZeneca PLC,461275,251122,208188,50000,350,0,Leans Democrat,"Pharmaceuticals , Health Products"
Abbvie Inc,439626,234850,201084,973,0,0,Leans Democrat,"Pharmaceuticals , Health Products"
Cencora Inc,433028,205559,196804,27635,0,0,Leans Democrat,"Pharmaceuticals , Health Products"
Roche Holdings,399742,249052,146257,42838,0,0,Leans Democrat,"Pharmaceuticals , Health Products"
Calidi Biotherapeutics,395562,388962,6600,0,0,0,Leans Democrat,"Pharmaceuticals , Health Products"
